antecedent,consequent,support,confidence,lift
JUMBO STORAGE BAG SUKI,JUMBO SHOPPER VINTAGE RED PAISLEY,0.025,0.4396,7.8401
LUNCH BAG SUKI DESIGN,LUNCH BAG CARS BLUE,0.0224,0.4273,7.8139
LUNCH BAG CARS BLUE,LUNCH BAG SUKI DESIGN,0.0224,0.409,7.8139
LUNCH BAG  BLACK SKULL.,LUNCH BAG SUKI DESIGN,0.0243,0.4075,7.7862
LUNCH BAG SUKI DESIGN,LUNCH BAG  BLACK SKULL.,0.0243,0.4639,7.7862
LUNCH BAG SPACEBOY DESIGN,LUNCH BAG CARS BLUE,0.0227,0.4152,7.5934
LUNCH BAG CARS BLUE,LUNCH BAG SPACEBOY DESIGN,0.0227,0.4148,7.5934
LUNCH BAG CARS BLUE,LUNCH BAG  BLACK SKULL.,0.0245,0.4489,7.5343
LUNCH BAG  BLACK SKULL.,LUNCH BAG CARS BLUE,0.0245,0.412,7.5343
LUNCH BAG SUKI DESIGN,LUNCH BAG SPACEBOY DESIGN,0.0215,0.41,7.5049
LUNCH BAG SPACEBOY DESIGN,LUNCH BAG SUKI DESIGN,0.0215,0.3928,7.5049
LUNCH BAG RED RETROSPOT,LUNCH BAG PINK POLKADOT,0.0281,0.3844,7.4583
LUNCH BAG PINK POLKADOT,LUNCH BAG RED RETROSPOT,0.0281,0.5444,7.4583
JUMBO BAG PINK POLKADOT,JUMBO STORAGE BAG SUKI,0.0244,0.4183,7.3626
JUMBO STORAGE BAG SUKI,JUMBO BAG PINK POLKADOT,0.0244,0.4292,7.3626
LUNCH BAG SPACEBOY DESIGN,LUNCH BAG  BLACK SKULL.,0.0235,0.4298,7.2144
LUNCH BAG  BLACK SKULL.,LUNCH BAG SPACEBOY DESIGN,0.0235,0.3941,7.2144
LUNCH BAG PINK POLKADOT,LUNCH BAG SPACEBOY DESIGN,0.02,0.3884,7.1106
LUNCH BAG SPACEBOY DESIGN,LUNCH BAG PINK POLKADOT,0.02,0.3665,7.1106
JUMBO SHOPPER VINTAGE RED PAISLEY,JUMBO BAG PINK POLKADOT,0.0222,0.396,6.7926
JUMBO BAG PINK POLKADOT,JUMBO SHOPPER VINTAGE RED PAISLEY,0.0222,0.3808,6.7926
LUNCH BAG RED RETROSPOT,LUNCH BAG SUKI DESIGN,0.0259,0.3552,6.787
LUNCH BAG SUKI DESIGN,LUNCH BAG RED RETROSPOT,0.0259,0.4954,6.787
JUMBO BAG PINK POLKADOT,JUMBO BAG RED RETROSPOT,0.0386,0.6621,6.7732
JUMBO BAG RED RETROSPOT,JUMBO BAG PINK POLKADOT,0.0386,0.3949,6.7732
LUNCH BAG WOODLAND,LUNCH BAG RED RETROSPOT,0.0234,0.4944,6.7728
JUMBO BAG SCANDINAVIAN BLUE PAISLEY,JUMBO BAG RED RETROSPOT,0.0209,0.6605,6.7569
LUNCH BAG  BLACK SKULL.,LUNCH BAG RED RETROSPOT,0.029,0.4861,6.66
LUNCH BAG RED RETROSPOT,LUNCH BAG  BLACK SKULL.,0.029,0.3968,6.66
JUMBO BAG STRAWBERRY,JUMBO BAG RED RETROSPOT,0.0234,0.628,6.4248
LUNCH BAG CARS BLUE,LUNCH BAG RED RETROSPOT,0.0256,0.4684,6.4162
LUNCH BAG RED RETROSPOT,LUNCH BAG CARS BLUE,0.0256,0.3508,6.4162
LUNCH BAG SPACEBOY DESIGN,LUNCH BAG RED RETROSPOT,0.0252,0.462,6.329
JUMBO  BAG BAROQUE BLACK WHITE,JUMBO BAG RED RETROSPOT,0.0273,0.6103,6.2428
JUMBO BAG WOODLAND ANIMALS,JUMBO BAG RED RETROSPOT,0.0244,0.6066,6.2057
LUNCH BAG APPLE DESIGN,LUNCH BAG RED RETROSPOT,0.022,0.4514,6.1835
JUMBO STORAGE BAG SUKI,JUMBO BAG RED RETROSPOT,0.0337,0.5933,6.0689
RED HANGING HEART T-LIGHT HOLDER,WHITE HANGING HEART T-LIGHT HOLDER,0.0239,0.6613,5.9511
JUMBO BAG PINK VINTAGE PAISLEY,JUMBO BAG RED RETROSPOT,0.0231,0.5766,5.8982
JUMBO SHOPPER VINTAGE RED PAISLEY,JUMBO BAG RED RETROSPOT,0.0316,0.5632,5.761
JUMBO BAG APPLES,JUMBO BAG RED RETROSPOT,0.0242,0.5273,5.3941
GREEN REGENCY TEACUP AND SAUCER,REGENCY CAKESTAND 3 TIER,0.0216,0.471,5.0206
SPOTTY BUNTING,PARTY BUNTING,0.0231,0.4133,4.9989
ROSES REGENCY TEACUP AND SAUCER,REGENCY CAKESTAND 3 TIER,0.0222,0.4603,4.9062
