itemset,size,support
DOORMAT RED RETROSPOT,1,0.0316
SMALL WHITE HEART OF WICKER,1,0.0315
STRAWBERRY CHARLOTTE BAG,1,0.0314
LUNCH BAG VINTAGE LEAF DESIGN,1,0.0314
SET OF 3 BUTTERFLY COOKIE CUTTERS,1,0.0311
PLASTERS IN TIN WOODLAND ANIMALS,1,0.0311
GUMBALL COAT RACK,1,0.031
LOVE BUILDING BLOCK WORD,1,0.031
BATHROOM METAL SIGN,1,0.0309
PACK OF 20 NAPKINS PANTRY DESIGN,1,0.0309
SET OF 3 HEART COOKIE CUTTERS,1,0.0306
DOORMAT UNION FLAG,1,0.0302
JUMBO BAG OWLS,1,0.0301
HAND WARMER OWL DESIGN,1,0.0301
PACK OF 72 SKULL CAKE CASES,1,0.03
COLOUR GLASS T-LIGHT HOLDER HANGING,1,0.0298
GINGERBREAD MAN COOKIE CUTTER,1,0.0298
PLASTERS IN TIN SPACEBOY,1,0.0297
CHILLI LIGHTS,1,0.0295
HOMEMADE JAM SCENTED CANDLES,1,0.0295
"ALARM CLOCK BAKELIKE GREEN, ALARM CLOCK BAKELIKE RED",2,0.0295
HOT WATER BOTTLE TEA AND SYMPATHY,1,0.0294
HOT WATER BOTTLE I AM SO POORLY,1,0.0292
"LUNCH BAG  BLACK SKULL., LUNCH BAG RED RETROSPOT",2,0.029
"GREEN REGENCY TEACUP AND SAUCER, PINK REGENCY TEACUP AND SAUCER",2,0.029
DOORMAT NEW ENGLAND,1,0.0289
RED  HARMONICA IN BOX,1,0.0287
DOORMAT HEARTS,1,0.0287
RETROSPOT HEART HOT WATER BOTTLE,1,0.0284
HOT BATHS METAL SIGN,1,0.0283
LUNCH BAG VINTAGE DOILY,1,0.0282
"LUNCH BAG PINK POLKADOT, LUNCH BAG RED RETROSPOT",2,0.0281
LARGE WHITE HEART OF WICKER,1,0.028
PINK CREAM FELT CRAFT TRINKET BOX,1,0.0279
JUMBO BAG PEARS,1,0.0279
72 SWEETHEART FAIRY CAKE CASES,1,0.0275
TRADITIONAL KNITTING NANCY,1,0.0275
SMALL POPCORN HOLDER,1,0.0274
SET OF 60 PANTRY DESIGN CAKE CASES,1,0.0274
"JUMBO  BAG BAROQUE BLACK WHITE, JUMBO BAG RED RETROSPOT",2,0.0273
PAPER CHAIN KIT RETROSPOT,1,0.0273
HANGING HEART ZINC T-LIGHT HOLDER,1,0.0272
"PINK REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER",2,0.0272
WOOD 2 DRAWER CABINET WHITE FINISH,1,0.027
SET OF 20 VINTAGE CHRISTMAS NAPKINS,1,0.027
PACK OF 60 DINOSAUR CAKE CASES,1,0.027
GREY HEART HOT WATER BOTTLE,1,0.0268
"WOODEN FRAME ANTIQUE WHITE, WOODEN PICTURE FRAME WHITE FINISH",2,0.0266
BLUE HARMONICA IN BOX,1,0.0265
STRAWBERRY LUNCH BOX WITH CUTLERY,1,0.0265
ALARM CLOCK BAKELIKE IVORY,1,0.0265
CHARLOTTE BAG APPLES DESIGN,1,0.0264
VINTAGE HEADS AND TAILS CARD GAME,1,0.0264
RED RETROSPOT SHOPPER BAG,1,0.0263
PLASTERS IN TIN CIRCUS PARADE,1,0.0263
ROUND SNACK BOXES SET OF 4 FRUITS,1,0.0263
ZINC METAL HEART DECORATION,1,0.0262
60 CAKE CASES VINTAGE CHRISTMAS,1,0.0261
WOODEN BOX OF DOMINOES,1,0.0261
"LUNCH BAG RED RETROSPOT, LUNCH BAG SUKI DESIGN",2,0.0259
RED RETROSPOT CAKE STAND,1,0.0259
EDWARDIAN PARASOL NATURAL,1,0.0258
"LUNCH BAG CARS BLUE, LUNCH BAG RED RETROSPOT",2,0.0256
"LUNCH BAG  BLACK SKULL., LUNCH BAG PINK POLKADOT",2,0.0256
PLASTERS IN TIN VINTAGE PAISLEY,1,0.0254
JUMBO BAG TOYS,1,0.0252
ENAMEL FLOWER JUG CREAM,1,0.0252
HAND WARMER SCOTTY DOG DESIGN,1,0.0252
"JUMBO BAG RED RETROSPOT, LUNCH BAG RED RETROSPOT",2,0.0252
"LUNCH BAG RED RETROSPOT, LUNCH BAG SPACEBOY DESIGN",2,0.0252
HAND WARMER BIRD DESIGN,1,0.0251
JUMBO BAG DOILEY PATTERNS,1,0.0251
FELTCRAFT 6 FLOWER FRIENDS,1,0.025
"JUMBO SHOPPER VINTAGE RED PAISLEY, JUMBO STORAGE BAG SUKI",2,0.025
RED RETROSPOT PICNIC BAG,1,0.025
CREAM SWEETHEART MINI CHEST,1,0.0249
PHOTO FRAME CORNICE,1,0.0248
TRAVEL CARD WALLET KEEP CALM,1,0.0248
PLASTERS IN TIN SKULLS,1,0.0248
RED KITCHEN SCALES,1,0.0248
SET 2 TEA TOWELS I LOVE LONDON,1,0.0247
"GARDENERS KNEELING PAD CUP OF TEA, GARDENERS KNEELING PAD KEEP CALM",2,0.0247
BOX OF 24 COCKTAIL PARASOLS,1,0.0247
"LUNCH BAG  BLACK SKULL., LUNCH BAG CARS BLUE",2,0.0245
"GREEN REGENCY TEACUP AND SAUCER, PINK REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER",3,0.0245
LOVEBIRD HANGING DECORATION WHITE,1,0.0245
CREAM HEART CARD HOLDER,1,0.0245
"JUMBO BAG RED RETROSPOT, JUMBO BAG WOODLAND ANIMALS",2,0.0244
"JUMBO BAG PINK POLKADOT, JUMBO STORAGE BAG SUKI",2,0.0244
POTTERING IN THE SHED METAL SIGN,1,0.0243
SMALL GLASS HEART TRINKET POT,1,0.0243
"LUNCH BAG  BLACK SKULL., LUNCH BAG SUKI DESIGN",2,0.0243
CHILDRENS APRON SPACEBOY DESIGN,1,0.0243
SET OF 12 FAIRY CAKE BAKING CASES,1,0.0242
"JUMBO BAG APPLES, JUMBO BAG RED RETROSPOT",2,0.0242
WOODEN HEART CHRISTMAS SCANDINAVIAN,1,0.0242
LUNCH BAG DOILEY PATTERN,1,0.0241
"LUNCH BAG CARS BLUE, LUNCH BAG PINK POLKADOT",2,0.0241
SET/6 RED SPOTTY PAPER PLATES,1,0.024
"HEART OF WICKER LARGE, HEART OF WICKER SMALL",2,0.0239
"RED HANGING HEART T-LIGHT HOLDER, WHITE HANGING HEART T-LIGHT HOLDER",2,0.0239
CHRISTMAS CRAFT LITTLE FRIENDS,1,0.0239
"LUNCH BAG  BLACK SKULL., LUNCH BAG SPACEBOY DESIGN",2,0.0235
"JUMBO BAG RED RETROSPOT, JUMBO BAG STRAWBERRY",2,0.0234
HAND WARMER UNION JACK,1,0.0234
"LUNCH BAG RED RETROSPOT, LUNCH BAG WOODLAND",2,0.0234
VINTAGE UNION JACK BUNTING,1,0.0234
NO SINGING METAL SIGN,1,0.0233
"DOLLY GIRL LUNCH BOX, SPACEBOY LUNCH BOX",2,0.0232
METAL 4 HOOK HANGER FRENCH CHATEAU,1,0.0232
NATURAL SLATE CHALKBOARD LARGE,1,0.0232
"PAPER CHAIN KIT 50'S CHRISTMAS, PAPER CHAIN KIT VINTAGE CHRISTMAS",2,0.0232
PINK FAIRY CAKE CHILDRENS APRON,1,0.0232
"JUMBO BAG PINK VINTAGE PAISLEY, JUMBO BAG RED RETROSPOT",2,0.0231
"PARTY BUNTING, SPOTTY BUNTING",2,0.0231
SET/3 RED GINGHAM ROSE STORAGE BOX,1,0.023
LOVE HOT WATER BOTTLE,1,0.0229
TEA TIME PARTY BUNTING,1,0.0229
LADIES & GENTLEMEN METAL SIGN,1,0.0229
SINGLE HEART ZINC T-LIGHT HOLDER,1,0.0229
RED RETROSPOT PEG BAG,1,0.0228
WOODEN STAR CHRISTMAS SCANDINAVIAN,1,0.0228
ASSORTED COLOURS SILK FAN,1,0.0228
DOORMAT FANCY FONT HOME SWEET HOME,1,0.0228
SMALL DOLLY MIX DESIGN ORANGE BOWL,1,0.0227
SET OF 72 PINK HEART PAPER DOILIES,1,0.0227
PLASTERS IN TIN STRONGMAN,1,0.0227
"LUNCH BAG CARS BLUE, LUNCH BAG SPACEBOY DESIGN",2,0.0227
FELTCRAFT BUTTERFLY HEARTS,1,0.0226
DOORMAT SPOTTY HOME SWEET HOME,1,0.0225
WORLD WAR 2 GLIDERS ASSTD DESIGNS,1,0.0225
PINK BLUE FELT CRAFT TRINKET BOX,1,0.0225
PARTY METAL SIGN,1,0.0225
ENAMEL BREAD BIN CREAM,1,0.0224
"LUNCH BAG CARS BLUE, LUNCH BAG SUKI DESIGN",2,0.0224
SWEETHEART CERAMIC TRINKET BOX,1,0.0224
PACK OF 60 SPACEBOY CAKE CASES,1,0.0223
"REGENCY CAKESTAND 3 TIER, ROSES REGENCY TEACUP AND SAUCER",2,0.0222
"JUMBO BAG PINK POLKADOT, JUMBO SHOPPER VINTAGE RED PAISLEY",2,0.0222
TOY TIDY PINK POLKADOT,1,0.0221
SUKI  SHOULDER BAG,1,0.022
RED DINER WALL CLOCK,1,0.022
RECIPE BOX RETROSPOT,1,0.022
"LUNCH BAG APPLE DESIGN, LUNCH BAG RED RETROSPOT",2,0.022
SET OF 20 KIDS COOKIE CUTTERS,1,0.0219
TRAVEL SEWING KIT,1,0.0219
"LUNCH BAG SPACEBOY DESIGN, LUNCH BAG WOODLAND",2,0.0219
LUNCH BOX WITH CUTLERY RETROSPOT,1,0.0218
BAKING SET SPACEBOY DESIGN,1,0.0218
WHITE SKULL HOT WATER BOTTLE,1,0.0217
PICNIC BASKET WICKER SMALL,1,0.0217
"CHARLOTTE BAG PINK POLKADOT, RED RETROSPOT CHARLOTTE BAG",2,0.0217
PICNIC BASKET WICKER LARGE,1,0.0216
"GREEN REGENCY TEACUP AND SAUCER, REGENCY CAKESTAND 3 TIER",2,0.0216
"LUNCH BAG SPACEBOY DESIGN, LUNCH BAG SUKI DESIGN",2,0.0215
SPACEBOY BIRTHDAY CARD,1,0.0215
MEMO BOARD RETROSPOT  DESIGN,1,0.0215
"ALARM CLOCK BAKELIKE PINK, ALARM CLOCK BAKELIKE RED",2,0.0214
PANTRY MAGNETIC  SHOPPING LIST,1,0.0214
SET OF TEA COFFEE SUGAR TINS PANTRY,1,0.0214
FELTCRAFT CUSHION OWL,1,0.0213
JUMBO BAG VINTAGE CHRISTMAS,1,0.0213
PACK OF 12 LONDON TISSUES,1,0.0212
FAWN BLUE HOT WATER BOTTLE,1,0.0212
PAPER CHAIN KIT EMPIRE,1,0.0211
WHITE WOOD GARDEN PLANT LADDER,1,0.0211
"CHARLOTTE BAG SUKI DESIGN, RED RETROSPOT CHARLOTTE BAG",2,0.0211
YOU'RE CONFUSING ME METAL SIGN,1,0.021
ALARM CLOCK BAKELIKE ORANGE,1,0.021
"LUNCH BAG APPLE DESIGN, LUNCH BAG SUKI DESIGN",2,0.0209
"JUMBO BAG RED RETROSPOT, JUMBO BAG SCANDINAVIAN BLUE PAISLEY",2,0.0209
"JUMBO BAG WOODLAND ANIMALS, JUMBO STORAGE BAG SUKI",2,0.0209
DOORMAT WELCOME TO OUR HOME,1,0.0208
AREA PATROLLED METAL SIGN,1,0.0207
"RED RETROSPOT CHARLOTTE BAG, WOODLAND CHARLOTTE BAG",2,0.0207
3 STRIPEY MICE FELTCRAFT,1,0.0207
CHOCOLATE THIS WAY METAL SIGN,1,0.0207
4 TRADITIONAL SPINNING TOPS,1,0.0206
JUMBO BAG DOLLY GIRL DESIGN,1,0.0206
CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,1,0.0206
"LUNCH BAG CARS BLUE, LUNCH BAG WOODLAND",2,0.0206
KNITTED UNION FLAG HOT WATER BOTTLE,1,0.0206
FELTCRAFT PRINCESS CHARLOTTE DOLL,1,0.0205
SMALL HEART MEASURING SPOONS,1,0.0204
"RED RETROSPOT CHARLOTTE BAG, STRAWBERRY CHARLOTTE BAG",2,0.0203
SCANDINAVIAN PAISLEY PICNIC BAG,1,0.0203
WOODEN SCHOOL COLOURING SET,1,0.0203
"SET 3 RETROSPOT TEA,COFFEE,SUGAR",1,0.0202
CHRISTMAS CRAFT TREE TOP ANGEL,1,0.0202
BEWARE OF THE CAT METAL SIGN,1,0.0202
TOILET SIGN OCCUPIED OR VACANT,1,0.0201
"JUMBO BAG PINK POLKADOT, JUMBO BAG WOODLAND ANIMALS",2,0.0201
ZINC FOLKART SLEIGH BELLS,1,0.0201
NATURAL SLATE RECTANGLE CHALKBOARD,1,0.0201
"LUNCH BAG PINK POLKADOT, LUNCH BAG SPACEBOY DESIGN",2,0.02
WOOD S/3 CABINET ANT WHITE FINISH,1,0.02
